Company,Title,Location,Posted Date,Ethics,Visa?,Apply URL,Notes
Docplanner,Backend Engineer - AI Integration,"Bologna, it",2026-02-23,good,Likely (company sponsors),https://jobs.smartrecruiters.com/Docplanner/744000110703684,Operates in multiple countries
Clarivate,"Data Science Consultant, Discovery & Translational Science",Spain - Barcelona,2026-02-23,neutral,Likely (company sponsors),https://clarivate.wd3.myworkdayjobs.com/en-US/Clarivate_Careers/job/Spain---Barcelona/Data-Science-Consultant--Discovery---Translational-Science_JREQ134733-1,"Web of Science, Derwent. Phenom People frontend, Workday backend (wd3). Location in locationsText field."
Clarivate,Senior Data Scientist,Spain - Barcelona,2026-02-23,neutral,Likely (company sponsors),https://clarivate.wd3.myworkdayjobs.com/en-US/Clarivate_Careers/job/Spain---Barcelona/Senior-Data-Scientist_JREQ134261-1,"Web of Science, Derwent. Phenom People frontend, Workday backend (wd3). Location in locationsText field."
Clarivate,Lead Data Scientist,Spain - Barcelona,2026-02-23,neutral,Likely (company sponsors),https://clarivate.wd3.myworkdayjobs.com/en-US/Clarivate_Careers/job/Spain---Barcelona/Lead-Data-Scientist_JREQ134952-2,"Web of Science, Derwent. Phenom People frontend, Workday backend (wd3). Location in locationsText field."
Barcelona Supercomputing Center,Research Engineer / Postdoc - Development of atmospheric modeling applications with artificial intelligence (RE1-2/R1-2),"Barcelona, Spain",2026-02-23,good,Likely (company sponsors),https://www.bsc.es/join-us/job-opportunities/7426esacar2,"Supercomputing research center, climate/health DS"
Barcelona Supercomputing Center,Machine Learning Engineer (RE2) – AI Factory (Earth Sciences Department),"Barcelona, Spain",2026-02-23,good,Likely (company sponsors),https://www.bsc.es/join-us/job-opportunities/40625escesre1,"Supercomputing research center, climate/health DS"
Barcelona Supercomputing Center,Trustworthy AI Specialist - AI Factory,"Barcelona, Spain",2026-02-23,good,Likely (company sponsors),https://www.bsc.es/join-us/job-opportunities/5026cselsectai,"Supercomputing research center, climate/health DS"
Barcelona Supercomputing Center,Research Area Director – Artificial Intelligence (RE4/R4),"Barcelona, Spain",2026-02-23,good,Likely (company sponsors),https://www.bsc.es/join-us/job-opportunities/6926diraiirad,"Supercomputing research center, climate/health DS"
Accenture,Agentic AI Engineers,"Barcelona, La Rotonda",2026-02-23,neutral,Likely (company sponsors),https://accenture.wd103.myworkdayjobs.com/en-US/AccentureCareers/job/Barcelona-La-Rotonda/Agentic-AI-Engineers_R00300672,Analytics Innovation Centre in Barcelona. Workday tenant: accenture/wd103.
Zurich Insurance,Data Scientist Intern - Data Platform & AI,"Barcelona, ES",2026-02-18,neutral,Likely (company sponsors),https://www.careers.zurich.com/job/Barcelona-Data-Scientist-Intern-Data-Platform-&-AI/1350612157/,ServiZurich tech hub in Barcelona. J2W/SAP SuccessFactors RSS feed.
eDreams ODIGEO,Senior Data Engineer – Performance Marketing – (Hybrid),"Barcelona, Spain",2026-02-23,neutral,Likely (company sponsors),https://www.edreamsodigeocareers.com/job/senior-data-engineer-online-marketing-hybrid/,"Major European OTA, Barcelona HQ"
eDreams ODIGEO,Associate Data Engineer – Math/ Physics/ Science/Engineering graduates – (Temporary),"Barcelona, Spain",2026-02-23,neutral,Likely (company sponsors),https://www.edreamsodigeocareers.com/job/data-engineer-online-marketing-temporary/,"Major European OTA, Barcelona HQ"
Mango,DATA SCIENTIST,"PALAU SOLITÀ I PLEGAMANS, Barcelona",2026-02-22,neutral,Unknown,https://mango.wd3.myworkdayjobs.com/en-US/Mango_Work_Your_Passion/job/Palau-solit-i-Plegamans-Catalonia-Spain/DATA-SCIENTIST_JR128405,Fashion retailer HQ in Barcelona
Mango,INVENTORY DATA ANALYST,"PALAU SOLITÀ I PLEGAMANS, Barcelona",2026-02-22,neutral,Unknown,https://mango.wd3.myworkdayjobs.com/en-US/Mango_Work_Your_Passion/job/Palau-solit-i-Plegamans-Catalonia-Spain/STOCK-CONTROLLER-SPECIALIST_JR130094,Fashion retailer HQ in Barcelona
Mango,AI ENGINEER,"PALAU SOLITÀ I PLEGAMANS, Barcelona",2026-02-22,neutral,Unknown,https://mango.wd3.myworkdayjobs.com/en-US/Mango_Work_Your_Passion/job/Palau-solit-i-Plegamans-Catalonia-Spain/MACHINE-LEARNING_JR130285,Fashion retailer HQ in Barcelona
