Company,Title,Location,Posted Date,Ethics,Visa?,Apply URL,Notes
Zurich Insurance,Junior AI Engineer - Agentic Workflows,"Barcelona, ES",2026-06-02,neutral,Likely (company sponsors),https://www.careers.zurich.com/job/Barcelona-Junior-AI-Engineer-Agentic-Workflows/1362529057/,ServiZurich tech hub in Barcelona. J2W/SAP SuccessFactors RSS feed.
Zurich Insurance,Senior AI Agent & Workflow Engineer,"Barcelona, ES",2026-06-02,neutral,Likely (company sponsors),https://www.careers.zurich.com/job/Barcelona-Senior-AI-Agent-&-Workflow-Engineer/1362530757/,ServiZurich tech hub in Barcelona. J2W/SAP SuccessFactors RSS feed.
Mango,Agentic AI Engineer Intern,"PALAU SOLITÀ I PLEGAMANS, Barcelona",2026-06-02,neutral,Unknown,https://mango.wd3.myworkdayjobs.com/en-US/Mango_Work_Your_Passion/job/Palau-solit-i-Plegamans-Catalonia-Spain/Agentic-AI-Engineer-Intern_JR135098,Fashion retailer HQ in Barcelona
N26,Senior Regulatory Reporting Manager,Berlin,2026-06-01,neutral,Yes (job posting),https://n26.com/en-eu/careers/positions/7646172?gh_jid=7646172,"Barcelona tech hub, digital bank."
N26,Senior Backend Engineer - Security Automation,Berlin,2026-06-02,neutral,Yes (job posting),https://n26.com/en-eu/careers/positions/7577884?gh_jid=7577884,"Barcelona tech hub, digital bank."
N26,Senior Backend Engineer - Security Automation,Barcelona,2026-06-02,neutral,Yes (job posting),https://n26.com/en-eu/careers/positions/7597686?gh_jid=7597686,"Barcelona tech hub, digital bank."
N26,Regulatory Reporting Senior Specialist,Barcelona ,2026-06-01,neutral,Yes (job posting),https://n26.com/en-eu/careers/positions/7434193?gh_jid=7434193,"Barcelona tech hub, digital bank."
N26,Regulatory Reporting Senior Specialist,Berlin,2026-06-01,neutral,Yes (job posting),https://n26.com/en-eu/careers/positions/6922215?gh_jid=6922215,"Barcelona tech hub, digital bank."
Mango,Agentic AI Engineer,"PALAU SOLITÀ I PLEGAMANS, Barcelona",2026-06-01,neutral,Unknown,https://mango.wd3.myworkdayjobs.com/en-US/Mango_Work_Your_Passion/job/Palau-solit-i-Plegamans-Catalonia-Spain/NodeJS-Software-Engineer---Conversational-AI_JR126586,Fashion retailer HQ in Barcelona
Mango,STAGER DATA SCIENCE,"PALAU SOLITÀ I PLEGAMANS, Barcelona",2026-06-01,neutral,Unknown,https://mango.wd3.myworkdayjobs.com/en-US/Mango_Work_Your_Passion/job/Palau-solit-i-Plegamans-Catalonia-Spain/STAGER-DATA-SCIENCE_JR135089,Fashion retailer HQ in Barcelona
N26,Marketing Analytics Engineer,Berlin,2026-06-01,neutral,Yes (job posting),https://n26.com/en-eu/careers/positions/7962721?gh_jid=7962721,"Barcelona tech hub, digital bank."
N26,Marketing Analytics Engineer,Barcelona,2026-06-01,neutral,Yes (job posting),https://n26.com/en-eu/careers/positions/7962618?gh_jid=7962618,"Barcelona tech hub, digital bank."
Fever,Research Data Analyst,Madrid,2026-06-01,neutral,Unknown,https://job-boards.eu.greenhouse.io/feverup/jobs/4121570101,"Large events platform, Barcelona office"
