Company,Title,Location,Posted Date,Ethics,Visa?,Apply URL,Notes
Social Point,Senior Data Analyst,"Barcelona, Spain",2026-01-28,neutral,Unknown,https://job-boards.greenhouse.io/spcareers/jobs/5725444004,"Dragon City maker, Take-Two subsidiary"
Social Point,Principal Marketing Analyst,"Barcelona, Spain",2026-01-28,neutral,Unknown,https://job-boards.greenhouse.io/spcareers/jobs/5708018004,"Dragon City maker, Take-Two subsidiary"
Social Point,Principal Data Analyst,"Barcelona, Spain",2026-01-28,neutral,Unknown,https://job-boards.greenhouse.io/spcareers/jobs/5670971004,"Dragon City maker, Take-Two subsidiary"
Social Point,Marketing Analytics Manager,"Barcelona, Spain",2026-01-28,neutral,Unknown,https://job-boards.greenhouse.io/spcareers/jobs/5686288004,"Dragon City maker, Take-Two subsidiary"
Fever,Strategy & Operations - Analyst,Madrid,2026-02-03,neutral,Unknown,https://job-boards.eu.greenhouse.io/feverup/jobs/4718548101,"Large events platform, Barcelona office"
Fever,Senior Software Engineer / Data Department,Remote Spain,2026-02-03,neutral,Unknown,https://job-boards.eu.greenhouse.io/feverup/jobs/4691565101,"Large events platform, Barcelona office"
Fever,Senior Python Developer,Spain,2026-02-03,neutral,Unknown,https://job-boards.eu.greenhouse.io/feverup/jobs/4772430101,"Large events platform, Barcelona office"
Fever,Senior Frontend Engineer - Data Team,Spain,2026-02-03,neutral,Unknown,https://job-boards.eu.greenhouse.io/feverup/jobs/4707238101,"Large events platform, Barcelona office"
Fever,Senior Data Scientist,Spain,2026-02-03,neutral,Unknown,https://job-boards.eu.greenhouse.io/feverup/jobs/4093807101,"Large events platform, Barcelona office"
Fever,Senior Data Project Manager,Spain,2026-02-03,neutral,Unknown,https://job-boards.eu.greenhouse.io/feverup/jobs/4428253101,"Large events platform, Barcelona office"
Fever,Senior Data Engineer - MAD,Madrid,2026-02-03,neutral,Unknown,https://job-boards.eu.greenhouse.io/feverup/jobs/4677181101,"Large events platform, Barcelona office"
Fever,Senior Data Analytics Engineer,Madrid,2026-02-03,neutral,Unknown,https://job-boards.eu.greenhouse.io/feverup/jobs/4682021101,"Large events platform, Barcelona office"
Fever,Senior Backend Engineer / Data Department,Remote Spain,2026-02-03,neutral,Unknown,https://job-boards.eu.greenhouse.io/feverup/jobs/4750346101,"Large events platform, Barcelona office"
Fever,Marketing Automation Engineer (CRM),Spain,2026-02-03,neutral,Unknown,https://job-boards.eu.greenhouse.io/feverup/jobs/4601983101,"Large events platform, Barcelona office"
Fever,Lead Machine Learning Engineer,Spain,2026-02-03,neutral,Unknown,https://job-boards.eu.greenhouse.io/feverup/jobs/4689514101,"Large events platform, Barcelona office"
Fever,Lead Data Science,Madrid,2026-02-03,neutral,Unknown,https://job-boards.eu.greenhouse.io/feverup/jobs/4608916101,"Large events platform, Barcelona office"
Fever,Junior Product Manager,Madrid,2026-02-03,neutral,Unknown,https://job-boards.eu.greenhouse.io/feverup/jobs/4392658101,"Large events platform, Barcelona office"
