Company,Title,Location,Posted Date,Ethics,Visa?,Apply URL,Notes
Veepee,Data engineer (BI) - H/F/X,Barcelona,2026-04-10,neutral,Likely (company sponsors),https://jobs.lever.co/veepee/93e59f57-64cf-48b9-b3df-fbda47f590d4,"Tech hub in Barcelona, strong data science team across EU."
Amazon,"Area Manager, DCT9","Barcelona, Catalonia, ESP",2026-04-10,kinda_evil,Likely (company sponsors),https://www.amazon.jobs/en/jobs/10388270/area-manager-dct9,"Massive DS hiring, established visa process. Barcelona office includes AWS and retail teams."
Barcelona Supercomputing Center,Deep Learning Engineer for Language Technologies (RE2),"Barcelona, Spain",2026-04-10,good,Likely (company sponsors),https://www.bsc.es/join-us/job-opportunities/17026aiilmre2,"Supercomputing research center, climate/health DS"
Barcelona Supercomputing Center,Deep Learning Engineer for Language Technologies (RE2),"Barcelona, Spain",2026-04-10,good,Likely (company sponsors),https://www.bsc.es/join-us/job-opportunities/17226aiicvre2,"Supercomputing research center, climate/health DS"
Barcelona Supercomputing Center,Deep Learning Engineer for Language Technologies (RE2),"Barcelona, Spain",2026-04-10,good,Likely (company sponsors),https://www.bsc.es/join-us/job-opportunities/17326aiicvre2,"Supercomputing research center, climate/health DS"
Lodgify,Senior AI Engineer,Barcelona - Cataluña,2026-04-09,neutral,Unknown,https://jobs.lever.co/lodgify/d99f7960-cf71-4fd9-b87a-08066b00d07e,"380+ employees, vacation rental tech"
Preply,Senior Data Analyst - Marketplace Analytics,London,2026-04-09,good,Yes (job posting),https://jobs.ashbyhq.com/preply/574bffee-2c57-40b8-b26a-da4805ca43f5,Online tutoring marketplace
Preply,Staff Data Analyst,London,2026-04-08,good,Yes (job posting),https://jobs.ashbyhq.com/preply/463ab4dd-09b0-4fbb-aa03-bf7987202da1,Online tutoring marketplace
Docplanner,Backend Engineer AI Integration,"Barcelona, es",2026-04-09,good,Likely (company sponsors),https://jobs.smartrecruiters.com/Docplanner/744000119579048,Operates in multiple countries
Docplanner,Backend Engineer AI Integration,"Madrid, es",2026-04-09,good,Likely (company sponsors),https://jobs.smartrecruiters.com/Docplanner/744000119579117,Operates in multiple countries
