Company,Title,Location,Posted Date,Ethics,Visa?,Apply URL,Notes
Manychat,Senior Product Designer AI,"Barcelona, Spain",2026-02-10,neutral,Yes (job posting),https://boards.greenhouse.io/manychat/jobs/8395607002?gh_jid=8395607002,"Chat marketing platform, Barcelona office"
Manychat,Senior Data Analytics Engineer,"Barcelona, Spain",2026-02-17,neutral,Yes (job posting),https://boards.greenhouse.io/manychat/jobs/8384243002?gh_jid=8384243002,"Chat marketing platform, Barcelona office"
Manychat,Senior Business analyst,"Barcelona, Spain",2026-01-30,neutral,Unknown,https://boards.greenhouse.io/manychat/jobs/8325301002?gh_jid=8325301002,"Chat marketing platform, Barcelona office"
Manychat,Data Platform Engineer,"Barcelona, Spain",2026-02-17,neutral,Yes (job posting),https://boards.greenhouse.io/manychat/jobs/8186877002?gh_jid=8186877002,"Chat marketing platform, Barcelona office"
Barcelona Supercomputing Center,Researcher: ML and AI expert,"Barcelona, Spain",2026-02-21,good,Likely (company sponsors),https://www.bsc.es/join-us/job-opportunities/7026casewpr2,"Supercomputing research center, climate/health DS"
Accenture,Data Science/MLOps Engineer,"Barcelona, Spain",2026-02-21,neutral,Likely (company sponsors),https://www.accenture.com/es-es/careers/jobdetails?id=13736400_es,Analytics Innovation Centre in Barcelona
Zurich Insurance,AI & Data Scientist - Internal Audit,"Barcelona, Spain",2026-02-21,neutral,Likely (company sponsors),https://www.careers.zurich.com/job/Barcelona-AI-&-Data-Scientist-Internal-Audit/1350153057/,Data center in Barcelona
Desigual,Creative AI Specialist,"Barcelona, Spain",2026-02-21,neutral,Unknown,https://jobs.desigual.com/job/Barcelona-Creative-AI-Specialist-Spai/1365995933/,Fashion brand HQ Barcelona
Mango,Senior Data Scientist,"Palau-solità i Plegamans, Spain",2026-02-21,neutral,Unknown,https://mango.wd3.myworkdayjobs.com/en-US/Mango_Work_Your_Passion/details/SENIOR-DATA-SCIENTIST_JR126092,"Fashion retailer HQ in Barcelona, uses Workday"
SAP,Senior Strategic Revenue Operations Analyst,"Barcelona, Spain",2026-02-21,neutral,Likely (company sponsors),https://jobs.sap.com/job/Barcelona-Senior-Strategic-Revenue-Operations-Analyst-08019/1292482501/,"Digital Hub Barcelona, uses SuccessFactors ATS"
Criteo,Sr Data Analyst,"Barcelona, Spain",2026-02-21,neutral,Likely (company sponsors),https://careers.criteo.com/en/jobs/r20013/sr-data-analyst/,Barcelona is their European hub
eDreams ODIGEO,BI Data Engineer,"Barcelona, Spain",2026-02-21,neutral,Likely (company sponsors),https://www.edreamsodigeocareers.com/job/bi-data-engineer-7/,"Major European OTA, Barcelona HQ"
Holaluz,Data Engineer,"Barcelona, Spain",2026-02-21,good,Unknown,https://holaluz-1.factorial.es/job_posting/data-engineer-228364,"Green energy startup, uses Factorial ATS"
Manychat,Senior Data Analytics Engineer,"Barcelona, Spain",2026-02-21,neutral,Unknown,https://job-boards.greenhouse.io/manychat/jobs/8384243002,"Chat marketing platform, Barcelona office"
