Company,Title,Location,Posted Date,Ethics,Visa?,Apply URL,Notes
N26,Senior Marketing Data Analyst,Barcelona,2026-03-12,neutral,Yes (job posting),https://n26.com/en-eu/careers/positions/7529962?gh_jid=7529962,"Barcelona tech hub, digital bank."
N26,Senior Marketing Data Analyst,Berlin,2026-03-12,neutral,Yes (job posting),https://n26.com/en-eu/careers/positions/7522593?gh_jid=7522593,"Barcelona tech hub, digital bank."
Amazon,"Senior Applied Scientist, US Prime & Marketing Technology (UPMT)","Barcelona, Catalonia, ESP",2026-03-12,kinda_evil,Likely (company sponsors),https://www.amazon.jobs/en/jobs/3203112/senior-applied-scientist-us-prime-marketing-technology-upmt,"Massive DS hiring, established visa process. Barcelona office includes AWS and retail teams."
Fever,Senior Project Manager - Data Engineer,Melbourne,2026-03-12,neutral,Unknown,https://job-boards.eu.greenhouse.io/feverup/jobs/4806156101,"Large events platform, Barcelona office"
Preply,Junior Marketing Analytst,Barcelona,2026-03-12,good,Yes (job posting),https://jobs.ashbyhq.com/preply/e8b24b82-c11f-4dd4-8b88-7dae3162f7fd,Online tutoring marketplace
Preply,Staff Data Scientist,London,2026-03-12,good,Yes (job posting),https://jobs.ashbyhq.com/preply/2e125c5e-420e-4026-8e2f-f4f46b1d1672,Online tutoring marketplace
Preply,Staff Data Scientist,Barcelona,2026-03-12,good,Yes (job posting),https://jobs.ashbyhq.com/preply/56258789-bb1b-452a-8353-a352099d6e9f,Online tutoring marketplace
Zurich Insurance,Trainee Actuary,"Barcelona, ES",2026-03-12,neutral,Likely (company sponsors),https://www.careers.zurich.com/job/Barcelona-Trainee-Actuary/1352548357/,ServiZurich tech hub in Barcelona. J2W/SAP SuccessFactors RSS feed.
N26,(Senior) Product Manager - Onboarding & KYC,Berlin,2026-03-11,neutral,Yes (job posting),https://n26.com/en-eu/careers/positions/7668142?gh_jid=7668142,"Barcelona tech hub, digital bank."
N26,(Senior) Product Manager - Onboarding & KYC,Barcelona,2026-03-11,neutral,Yes (job posting),https://n26.com/en-eu/careers/positions/7704226?gh_jid=7704226,"Barcelona tech hub, digital bank."
