Company,Title,Location,Posted Date,Ethics,Visa?,Apply URL,Notes
Preply,Senior Analytics Manager,Kyiv,2026-04-30,good,Yes (job posting),https://jobs.ashbyhq.com/preply/7180ce0e-9d19-4683-ae71-178cea9ccf10,Online tutoring marketplace
Preply,Senior Analytics Manager,London,2026-04-30,good,Yes (job posting),https://jobs.ashbyhq.com/preply/1caf7d6e-99a7-4bbf-ae35-53f3c8079cc0,Online tutoring marketplace
Preply,Senior Analytics Manager,Barcelona,2026-04-30,good,Yes (job posting),https://jobs.ashbyhq.com/preply/698aa333-9d2f-4acf-a99b-efb8d574b3d2,Online tutoring marketplace
N26,Product Manager - Lending,Berlin,2026-04-29,neutral,Yes (job posting),https://n26.com/en-eu/careers/positions/7861809?gh_jid=7861809,"Barcelona tech hub, digital bank."
N26,Product Manager - Lending,Barcelona,2026-04-29,neutral,Yes (job posting),https://n26.com/en-eu/careers/positions/7868456?gh_jid=7868456,"Barcelona tech hub, digital bank."
N26,Product Manager - Data Governance & Analytics Engineering,Berlin,2026-04-29,neutral,Yes (job posting),https://n26.com/en-eu/careers/positions/7861428?gh_jid=7861428,"Barcelona tech hub, digital bank."
N26,Product Manager - Data Governance & Analytics Engineering,Barcelona,2026-04-29,neutral,Yes (job posting),https://n26.com/en-eu/careers/positions/7868515?gh_jid=7868515,"Barcelona tech hub, digital bank."
N26,Data Analytics Manager - Financial Empowerment  ,Barcelona,2026-04-29,neutral,Yes (job posting),https://n26.com/en-eu/careers/positions/7745709?gh_jid=7745709,"Barcelona tech hub, digital bank."
N26,Data Analytics Manager - Everyday Banking,Barcelona,2026-04-29,neutral,Yes (job posting),https://n26.com/en-eu/careers/positions/7866493?gh_jid=7866493,"Barcelona tech hub, digital bank."
Preply,Senior Data Scientist - Paid Marketing Optimization,London,2026-04-29,good,Yes (job posting),https://jobs.ashbyhq.com/preply/f523d3f8-1b3a-4711-a378-2796943d4298,Online tutoring marketplace
Preply,Senior Data Scientist - Paid Marketing Optimization,London,2026-04-29,good,Yes (job posting),https://jobs.ashbyhq.com/preply/53eb1609-baaf-47f1-8c84-0bb466ddd5bb,Online tutoring marketplace
Preply,Director of SEM,Barcelona,2026-04-30,good,Likely (company sponsors),https://jobs.ashbyhq.com/preply/5ee04039-2ec0-4667-8482-a14597b2f5dc,Online tutoring marketplace
